PATCO,AGELVLT,WORKSCHT,SALLVLT,CNT,AGELVLTMagnitude,WORKSCHTMagnitude,SALLVLTMagnitude
6,30-34,Full-time Nonseasonal,"$50,000 - $59,999",723,26878,200793,25502
2,35-39,Full-time Nonseasonal,"$50,000 - $59,999",720,21648,200793,25502
1,35-39,Full-time Nonseasonal,"$70,000 - $79,999",712,21648,200793,19003
1,60-64,Full-time Nonseasonal,"$80,000 - $89,999",710,28247,200793,14182
2,55-59,Full-time Nonseasonal,"$120,000 - $129,999",707,30359,200793,5366
2,30-34,Full-time Nonseasonal,"$80,000 - $89,999",706,26878,200793,14182
2,25-29,Full-time Nonseasonal,"$50,000 - $59,999",701,24507,200793,25502
3,45-49,Full-time Nonseasonal,"$50,000 - $59,999",700,21059,200793,25502
4,65 or more,Intermittent Nonseasonal,"$20,000 - $29,999",688,21557,14808,26970
2,65 or more,Full-time Nonseasonal,"$80,000 - $89,999",683,21557,200793,14182
5,25-29,Full-time Nonseasonal,"$30,000 - $39,999",681,24507,200793,40789
1,25-29,Full-time Nonseasonal,"$70,000 - $79,999",677,24507,200793,19003
5,20-24,Part-time Nonseasonal,"$20,000 - $29,999",677,15279,12235,26970
4,40-44,Full-time Nonseasonal,"$30,000 - $39,999",675,19462,200793,40789
2,40-44,Full-time Nonseasonal,"$90,000 - $99,999",675,19462,200793,14905
1,30-34,Full-time Nonseasonal,"$80,000 - $89,999",667,26878,200793,14182
1,60-64,Full-time Nonseasonal,"$70,000 - $79,999",664,28247,200793,19003
2,40-44,Full-time Nonseasonal,"$50,000 - $59,999",664,19462,200793,25502
2,40-44,Full-time Nonseasonal,"$80,000 - $89,999",660,19462,200793,14182
2,65 or more,Full-time Nonseasonal,"$70,000 - $79,999",657,21557,200793,19003
2,35-39,Full-time Nonseasonal,"$80,000 - $89,999",657,21648,200793,14182
1,55-59,Full-time Nonseasonal,"$70,000 - $79,999",656,30359,200793,19003
6,50-54,Full-time Nonseasonal,"$50,000 - $59,999",653,24493,200793,25502
2,45-49,Full-time Nonseasonal,"$100,000 - $109,999",647,21059,200793,10369
1,35-39,Full-time Nonseasonal,"$60,000 - $69,999",644,21648,200793,19480
6,25-29,Full-time Nonseasonal,"$30,000 - $39,999",643,24507,200793,40789
1,30-34,Full-time Nonseasonal,"$90,000 - $99,999",642,26878,200793,14905
3,60-64,Full-time Nonseasonal,"$30,000 - $39,999",642,28247,200793,40789
2,25-29,Full-time Nonseasonal,"$60,000 - $69,999",639,24507,200793,19480
1,55-59,Full-time Nonseasonal,"$110,000 - $119,999",635,30359,200793,8683
1,55-59,Full-time Nonseasonal,"$80,000 - $89,999",634,30359,200793,14182
2,55-59,Full-time Nonseasonal,"$130,000 - $139,999",632,30359,200793,5096
2,45-49,Full-time Nonseasonal,"$50,000 - $59,999",629,21059,200793,25502
3,Less than 20,Full-time Nonseasonal,"$20,000 - $29,999",619,2541,200793,26970
1,40-44,Full-time Nonseasonal,"$70,000 - $79,999",611,19462,200793,19003
2,65 or more,Full-time Nonseasonal,"$100,000 - $109,999",610,21557,200793,10369
2,50-54,Full-time Nonseasonal,"$50,000 - $59,999",592,24493,200793,25502
4,50-54,Full-time Nonseasonal,"$30,000 - $39,999",584,24493,200793,40789
6,25-29,Full-time Nonseasonal,"$50,000 - $59,999",580,24507,200793,25502
2,60-64,Full-time Nonseasonal,"$130,000 - $139,999",580,28247,200793,5096
1,50-54,Full-time Nonseasonal,"$70,000 - $79,999",578,24493,200793,19003
2,25-29,Full-time Nonseasonal,"$70,000 - $79,999",576,24507,200793,19003
2,65 or more,Full-time Nonseasonal,"$110,000 - $119,999",575,21557,200793,8683
6,60-64,Full-time Nonseasonal,"$40,000 - $49,999",572,28247,200793,29706
1,45-49,Full-time Nonseasonal,"$70,000 - $79,999",571,21059,200793,19003
6,35-39,Full-time Nonseasonal,"$40,000 - $49,999",569,21648,200793,29706
4,45-49,Full-time Nonseasonal,"$30,000 - $39,999",568,21059,200793,40789
6,55-59,Full-time Nonseasonal,"$60,000 - $69,999",565,30359,200793,19480
1,65 or more,Full-time Nonseasonal,"$90,000 - $99,999",564,21557,200793,14905
5,Less than 20,Full-time Nonseasonal,"$20,000 - $29,999",561,2541,200793,26970
1,35-39,Full-time Nonseasonal,"$80,000 - $89,999",560,21648,200793,14182
3,40-44,Full-time Nonseasonal,"$50,000 - $59,999",559,19462,200793,25502
1,60-64,Full-time Nonseasonal,"$110,000 - $119,999",557,28247,200793,8683
2,55-59,Full-time Nonseasonal,"$150,000 - $159,999",556,30359,200793,4567
3,35-39,Full-time Nonseasonal,"$50,000 - $59,999",556,21648,200793,25502
1,25-29,Full-time Nonseasonal,"$60,000 - $69,999",552,24507,200793,19480
1,35-39,Full-time Nonseasonal,"$90,000 - $99,999",551,21648,200793,14905
1,30-34,Full-time Nonseasonal,"$50,000 - $59,999",549,26878,200793,25502
6,20-24,Full-time Nonseasonal,"$40,000 - $49,999",548,15279,200793,29706
2,25-29,Full-time Nonseasonal,"$40,000 - $49,999",547,24507,200793,29706
2,50-54,Full-time Nonseasonal,"$120,000 - $129,999",546,24493,200793,5366
6,55-59,Full-time Nonseasonal,"$40,000 - $49,999",545,30359,200793,29706
6,45-49,Full-time Nonseasonal,"$50,000 - $59,999",544,21059,200793,25502
3,30-34,Full-time Nonseasonal,"$50,000 - $59,999",540,26878,200793,25502
3,60-64,Full-time Nonseasonal,"$60,000 - $69,999",539,28247,200793,19480
4,60-64,Full-time Nonseasonal,"$40,000 - $49,999",531,28247,200793,29706
2,65 or more,Full-time Nonseasonal,"$60,000 - $69,999",531,21557,200793,19480
6,40-44,Full-time Nonseasonal,"$50,000 - $59,999",531,19462,200793,25502
2,40-44,Full-time Nonseasonal,"$100,000 - $109,999",528,19462,200793,10369
1,40-44,Full-time Nonseasonal,"$60,000 - $69,999",523,19462,200793,19480
5,25-29,Full-time Nonseasonal,"$40,000 - $49,999",521,24507,200793,29706
3,55-59,Full-time Nonseasonal,"$60,000 - $69,999",521,30359,200793,19480
6,20-24,Full-time Nonseasonal,"$30,000 - $39,999",521,15279,200793,40789
2,55-59,Full-time Nonseasonal,"$50,000 - $59,999",520,30359,200793,25502
6,35-39,Full-time Nonseasonal,"$50,000 - $59,999",520,21648,200793,25502
1,65 or more,Full-time Nonseasonal,"$100,000 - $109,999",516,21557,200793,10369
2,60-64,Full-time Nonseasonal,"$120,000 - $129,999",516,28247,200793,5366
2,45-49,Full-time Nonseasonal,"$110,000 - $119,999",507,21059,200793,8683
6,50-54,Full-time Nonseasonal,"$40,000 - $49,999",507,24493,200793,29706
1,65 or more,Full-time Nonseasonal,"$110,000 - $119,999",506,21557,200793,8683
6,65 or more,Full-time Nonseasonal,"$50,000 - $59,999",506,21557,200793,25502
1,50-54,Full-time Nonseasonal,"$90,000 - $99,999",506,24493,200793,14905
1,60-64,Full-time Nonseasonal,"$150,000 - $159,999",504,28247,200793,4567
1,50-54,Full-time Nonseasonal,"$80,000 - $89,999",503,24493,200793,14182
1,65 or more,Full-time Nonseasonal,"$150,000 - $159,999",495,21557,200793,4567
6,55-59,Full-time Nonseasonal,"$30,000 - $39,999",495,30359,200793,40789
4,60-64,Full-time Nonseasonal,"$30,000 - $39,999",485,28247,200793,40789
4,55-59,Full-time Nonseasonal,"$30,000 - $39,999",483,30359,200793,40789
1,25-29,Full-time Nonseasonal,"$50,000 - $59,999",483,24507,200793,25502
1,40-44,Full-time Nonseasonal,"$80,000 - $89,999",482,19462,200793,14182
6,30-34,Full-time Nonseasonal,"$30,000 - $39,999",479,26878,200793,40789
6,45-49,Full-time Nonseasonal,"$40,000 - $49,999",476,21059,200793,29706
5,30-34,Full-time Nonseasonal,"$40,000 - $49,999",474,26878,200793,29706
1,50-54,Full-time Nonseasonal,"$100,000 - $109,999",472,24493,200793,10369
2,25-29,Full-time Nonseasonal,"$30,000 - $39,999",472,24507,200793,40789
2,30-34,Full-time Nonseasonal,"$40,000 - $49,999",472,26878,200793,29706
1,55-59,Full-time Nonseasonal,"$150,000 - $159,999",470,30359,200793,4567
1,45-49,Full-time Nonseasonal,"$60,000 - $69,999",462,21059,200793,19480
6,40-44,Full-time Nonseasonal,"$40,000 - $49,999",461,19462,200793,29706
6,60-64,Full-time Nonseasonal,"$30,000 - $39,999",460,28247,200793,40789
5,30-34,Full-time Nonseasonal,"$30,000 - $39,999",457,26878,200793,40789
2,60-64,Full-time Nonseasonal,"$150,000 - $159,999",454,28247,200793,4567
6,60-64,Full-time Nonseasonal,"$60,000 - $69,999",453,28247,200793,19480
2,35-39,Full-time Nonseasonal,"$100,000 - $109,999",452,21648,200793,10369
1,25-29,Full-time Nonseasonal,"$40,000 - $49,999",451,24507,200793,29706
1,65 or more,Full-time Nonseasonal,"$80,000 - $89,999",443,21557,200793,14182
3,65 or more,Full-time Nonseasonal,"$60,000 - $69,999",439,21557,200793,19480
3,65 or more,Full-time Nonseasonal,"$30,000 - $39,999",437,21557,200793,40789
1,45-49,Full-time Nonseasonal,"$80,000 - $89,999",436,21059,200793,14182
1,65 or more,Full-time Nonseasonal,"$70,000 - $79,999",435,21557,200793,19003
1,65 or more,Full-time Nonseasonal,"$180,000 or more",429,21557,200793,3065
1,40-44,Full-time Nonseasonal,"$90,000 - $99,999",428,19462,200793,14905
4,55-59,Full-time Nonseasonal,"$40,000 - $49,999",425,30359,200793,29706
1,45-49,Full-time Nonseasonal,"$90,000 - $99,999",425,21059,200793,14905
2,50-54,Full-time Nonseasonal,"$130,000 - $139,999",425,24493,200793,5096
4,65 or more,Full-time Nonseasonal,"$40,000 - $49,999",423,21557,200793,29706
6,65 or more,Full-time Nonseasonal,"$40,000 - $49,999",423,21557,200793,29706
1,55-59,Full-time Nonseasonal,"$120,000 - $129,999",423,30359,200793,5366
2,60-64,Full-time Nonseasonal,"$50,000 - $59,999",423,28247,200793,25502
6,50-54,Full-time Nonseasonal,"$60,000 - $69,999",414,24493,200793,19480
1,50-54,Full-time Nonseasonal,"$110,000 - $119,999",412,24493,200793,8683
1,60-64,Full-time Nonseasonal,"$120,000 - $129,999",408,28247,200793,5366
6,50-54,Full-time Nonseasonal,"$30,000 - $39,999",407,24493,200793,40789
1,25-29,Intermittent Nonseasonal,"$20,000 - $29,999",399,24507,14808,26970
4,25-29,Full-time Nonseasonal,"$20,000 - $29,999",396,24507,200793,26970
1,55-59,Full-time Nonseasonal,"$60,000 - $69,999",388,30359,200793,19480
1,60-64,Full-time Nonseasonal,"$130,000 - $139,999",383,28247,200793,5096
1,50-54,Full-time Nonseasonal,"$60,000 - $69,999",382,24493,200793,19480
4,65 or more,Intermittent Nonseasonal,"$30,000 - $39,999",375,21557,14808,40789
4,60-64,Intermittent Nonseasonal,"$20,000 - $29,999",371,28247,14808,26970
2,50-54,Full-time Nonseasonal,"$150,000 - $159,999",370,24493,200793,4567
2,65 or more,Full-time Nonseasonal,"$130,000 - $139,999",369,21557,200793,5096
1,35-39,Full-time Nonseasonal,"$50,000 - $59,999",369,21648,200793,25502
1,55-59,Full-time Nonseasonal,"$130,000 - $139,999",362,30359,200793,5096
1,25-29,Full-time Nonseasonal,"$80,000 - $89,999",358,24507,200793,14182
4,65 or more,Full-time Nonseasonal,"$30,000 - $39,999",356,21557,200793,40789
4,20-24,Full-time Nonseasonal,"$30,000 - $39,999",355,15279,200793,40789
2,40-44,Full-time Nonseasonal,"$110,000 - $119,999",350,19462,200793,8683
2,45-49,Full-time Nonseasonal,"$120,000 - $129,999",349,21059,200793,5366
2,55-59,Full-time Nonseasonal,"$140,000 - $149,999",348,30359,200793,2587
4,55-59,Intermittent Nonseasonal,"$20,000 - $29,999",347,30359,14808,26970
2,30-34,Full-time Nonseasonal,"$30,000 - $39,999",347,26878,200793,40789
4,25-29,Part-time Nonseasonal,"$30,000 - $39,999",346,24507,12235,40789
1,60-64,Full-time Nonseasonal,"$180,000 or more",339,28247,200793,3065
1,60-64,Full-time Nonseasonal,"$60,000 - $69,999",338,28247,200793,19480
6,65 or more,Full-time Nonseasonal,"$30,000 - $39,999",337,21557,200793,40789
6,45-49,Full-time Nonseasonal,"$60,000 - $69,999",336,21059,200793,19480
3,25-29,Part-time Nonseasonal,"$30,000 - $39,999",334,24507,12235,40789
6,45-49,Full-time Nonseasonal,"$30,000 - $39,999",332,21059,200793,40789
4,20-24,Full-time Nonseasonal,"$20,000 - $29,999",329,15279,200793,26970
4,50-54,Full-time Nonseasonal,"$40,000 - $49,999",328,24493,200793,29706
1,65 or more,Full-time Nonseasonal,"$130,000 - $139,999",327,21557,200793,5096
1,35-39,Full-time Nonseasonal,"$100,000 - $109,999",326,21648,200793,10369
6,35-39,Full-time Nonseasonal,"$30,000 - $39,999",326,21648,200793,40789
4,30-34,Full-time Nonseasonal,"$20,000 - $29,999",323,26878,200793,26970
2,65 or more,Full-time Nonseasonal,"$120,000 - $129,999",322,21557,200793,5366
1,30-34,Full-time Nonseasonal,"$100,000 - $109,999",320,26878,200793,10369
3,35-39,Full-time Nonseasonal,"$20,000 - $29,999",316,21648,200793,26970
1,30-34,Full-time Nonseasonal,"$40,000 - $49,999",316,26878,200793,29706
6,20-24,Full-time Nonseasonal,"$50,000 - $59,999",315,15279,200793,25502
1,45-49,Full-time Nonseasonal,"$100,000 - $109,999",314,21059,200793,10369
3,50-54,Full-time Nonseasonal,"$60,000 - $69,999",314,24493,200793,19480
1,50-54,Full-time Nonseasonal,"$150,000 - $159,999",313,24493,200793,4567
2,35-39,Full-time Nonseasonal,"$110,000 - $119,999",313,21648,200793,8683
2,65 or more,Full-time Nonseasonal,"$150,000 - $159,999",311,21557,200793,4567
1,65 or more,Full-time Nonseasonal,"$120,000 - $129,999",311,21557,200793,5366
4,20-24,Part-time Nonseasonal,"$30,000 - $39,999",306,15279,12235,40789
6,30-34,Full-time Nonseasonal,"$60,000 - $69,999",306,26878,200793,19480
1,40-44,Full-time Nonseasonal,"$100,000 - $109,999",300,19462,200793,10369
4,50-54,Intermittent Nonseasonal,"$20,000 - $29,999",298,24493,14808,26970
1,35-39,Full-time Nonseasonal,"$110,000 - $119,999",294,21648,200793,8683
2,35-39,Full-time Nonseasonal,"$40,000 - $49,999",290,21648,200793,29706
1,25-29,Full-time Nonseasonal,"$30,000 - $39,999",285,24507,200793,40789
1,40-44,Full-time Nonseasonal,"$50,000 - $59,999",283,19462,200793,25502
5,35-39,Full-time Nonseasonal,"$40,000 - $49,999",283,21648,200793,29706
6,20-24,Full-time Nonseasonal,"$20,000 - $29,999",280,15279,200793,26970
2,45-49,Full-time Nonseasonal,"$130,000 - $139,999",280,21059,200793,5096
2,30-34,Full-time Nonseasonal,"$100,000 - $109,999",277,26878,200793,10369
3,20-24,Full-time Nonseasonal,"$40,000 - $49,999",273,15279,200793,29706
6,40-44,Full-time Nonseasonal,"$30,000 - $39,999",271,19462,200793,40789
1,45-49,Full-time Nonseasonal,"$110,000 - $119,999",269,21059,200793,8683
6,55-59,Full-time Nonseasonal,"$70,000 - $79,999",269,30359,200793,19003
6,65 or more,Full-time Nonseasonal,"$60,000 - $69,999",269,21557,200793,19480
2,40-44,Full-time Nonseasonal,"$40,000 - $49,999",267,19462,200793,29706
2,20-24,Full-time Nonseasonal,"$40,000 - $49,999",266,15279,200793,29706
3,30-34,Full-time Seasonal,"$30,000 - $39,999",262,26878,5720,40789
1,25-29,Full-time Nonseasonal,"$20,000 - $29,999",261,24507,200793,26970
5,25-29,Full-time Nonseasonal,"$20,000 - $29,999",261,24507,200793,26970
4,45-49,Full-time Nonseasonal,"$40,000 - $49,999",260,21059,200793,29706
6,35-39,Full-time Nonseasonal,"$60,000 - $69,999",253,21648,200793,19480
1,50-54,Full-time Nonseasonal,"$120,000 - $129,999",252,24493,200793,5366
2,20-24,Full-time Nonseasonal,"$30,000 - $39,999",251,15279,200793,40789
1,55-59,Full-time Nonseasonal,"$140,000 - $149,999",250,30359,200793,2587
3,45-49,Full-time Nonseasonal,"$60,000 - $69,999",249,21059,200793,19480
2,30-34,Full-time Nonseasonal,"$110,000 - $119,999",249,26878,200793,8683
1,55-59,Full-time Nonseasonal,"$180,000 or more",249,30359,200793,3065
5,30-34,Full-time Nonseasonal,"$50,000 - $59,999",247,26878,200793,25502
4,35-39,Full-time Nonseasonal,"$20,000 - $29,999",245,21648,200793,26970
2,60-64,Full-time Nonseasonal,"$140,000 - $149,999",244,28247,200793,2587
5,50-54,Full-time Nonseasonal,"$50,000 - $59,999",244,24493,200793,25502
1,40-44,Full-time Nonseasonal,"$110,000 - $119,999",238,19462,200793,8683
3,25-29,Full-time Seasonal,"$30,000 - $39,999",235,24507,5720,40789
4,45-49,Intermittent Nonseasonal,"$20,000 - $29,999",234,21059,14808,26970
1,25-29,Full-time Nonseasonal,"$90,000 - $99,999",232,24507,200793,14905
6,40-44,Full-time Nonseasonal,"$60,000 - $69,999",232,19462,200793,19480
2,40-44,Full-time Nonseasonal,"$120,000 - $129,999",232,19462,200793,5366
3,55-59,Full-time Nonseasonal,"$70,000 - $79,999",231,30359,200793,19003
1,50-54,Full-time Nonseasonal,"$130,000 - $139,999",231,24493,200793,5096
3,60-64,Full-time Nonseasonal,"$70,000 - $79,999",229,28247,200793,19003
2,50-54,Full-time Nonseasonal,"$140,000 - $149,999",229,24493,200793,2587
2,55-59,Full-time Nonseasonal,"$180,000 or more",229,30359,200793,3065
4,40-44,Full-time Nonseasonal,"$20,000 - $29,999",229,19462,200793,26970
6,55-59,Full-time Nonseasonal,"$20,000 - $29,999",225,30359,200793,26970
5,35-39,Full-time Nonseasonal,"$30,000 - $39,999",225,21648,200793,40789
3,20-24,Intermittent Nonseasonal,"$20,000 - $29,999",224,15279,14808,26970
1,45-49,Full-time Nonseasonal,"$50,000 - $59,999",223,21059,200793,25502
5,20-24,Full-time Nonseasonal,"$40,000 - $49,999",221,15279,200793,29706
2,65 or more,Full-time Nonseasonal,"$50,000 - $59,999",220,21557,200793,25502
1,20-24,Intermittent Nonseasonal,"$20,000 - $29,999",220,15279,14808,26970
2,45-49,Full-time Nonseasonal,"$40,000 - $49,999",220,21059,200793,29706
1,60-64,Full-time Nonseasonal,"$140,000 - $149,999",220,28247,200793,2587
4,60-64,Intermittent Nonseasonal,"$30,000 - $39,999",218,28247,14808,40789
1,30-34,Full-time Nonseasonal,"$110,000 - $119,999",218,26878,200793,8683
6,Less than 20,Full-time Nonseasonal,"Less than $20,000",218,2541,200793,1961
5,20-24,Part-time Nonseasonal,"$30,000 - $39,999",216,15279,12235,40789
1,65 or more,Full-time Nonseasonal,"$160,000 - $169,999",215,21557,200793,1603
2,25-29,Full-time Nonseasonal,"$20,000 - $29,999",214,24507,200793,26970
2,55-59,Full-time Nonseasonal,"$160,000 - $169,999",214,30359,200793,1603
4,55-59,Intermittent Nonseasonal,"$30,000 - $39,999",213,30359,14808,40789
5,35-39,Full-time Nonseasonal,"$50,000 - $59,999",213,21648,200793,25502
4,35-39,Full-time Nonseasonal,"$40,000 - $49,999",210,21648,200793,29706
6,25-29,Full-time Nonseasonal,"$20,000 - $29,999",209,24507,200793,26970
6,20-24,Full-time Nonseasonal,Unspecified or Zero,208,15279,200793,1350
1,40-44,Full-time Nonseasonal,"$180,000 or more",208,19462,200793,3065
4,40-44,Intermittent Nonseasonal,"$20,000 - $29,999",207,19462,14808,26970
1,30-34,Intermittent Nonseasonal,"$20,000 - $29,999",206,26878,14808,26970
2,25-29,Full-time Nonseasonal,"$90,000 - $99,999",206,24507,200793,14905
2,25-29,Full-time Nonseasonal,"$80,000 - $89,999",203,24507,200793,14182
3,30-34,Part-time Nonseasonal,"$30,000 - $39,999",201,26878,12235,40789
6,60-64,Full-time Nonseasonal,"$70,000 - $79,999",201,28247,200793,19003
4,30-34,Full-time Nonseasonal,"$40,000 - $49,999",201,26878,200793,29706
6,30-34,Full-time Nonseasonal,"$20,000 - $29,999",201,26878,200793,26970
4,30-34,Part-time Nonseasonal,"$30,000 - $39,999",198,26878,12235,40789
1,30-34,Full-time Nonseasonal,"$20,000 - $29,999",197,26878,200793,26970
6,50-54,Full-time Nonseasonal,"$70,000 - $79,999",194,24493,200793,19003
1,50-54,Full-time Nonseasonal,"$50,000 - $59,999",191,24493,200793,25502
4,40-44,Full-time Nonseasonal,"$40,000 - $49,999",191,19462,200793,29706
3,25-29,Full-time Nonseasonal,"$50,000 - $59,999",191,24507,200793,25502
6,60-64,Full-time Nonseasonal,"$20,000 - $29,999",190,28247,200793,26970
2,50-54,Full-time Nonseasonal,"$40,000 - $49,999",189,24493,200793,29706
4,50-54,Full-time Nonseasonal,"$20,000 - $29,999",187,24493,200793,26970
1,45-49,Full-time Nonseasonal,"$120,000 - $129,999",186,21059,200793,5366
1,65 or more,Full-time Nonseasonal,"$60,000 - $69,999",186,21557,200793,19480
5,25-29,Part-time Nonseasonal,"$20,000 - $29,999",185,24507,12235,26970
1,35-39,Full-time Nonseasonal,"$120,000 - $129,999",185,21648,200793,5366
2,35-39,Full-time Nonseasonal,"$120,000 - $129,999",185,21648,200793,5366
6,50-54,Full-time Nonseasonal,"$20,000 - $29,999",184,24493,200793,26970
1,35-39,Intermittent Seasonal,"Less than $20,000",184,21648,1773,1961
2,45-49,Full-time Nonseasonal,"$150,000 - $159,999",180,21059,200793,4567
4,45-49,Full-time Nonseasonal,"$20,000 - $29,999",180,21059,200793,26970
3,30-34,Intermittent Nonseasonal,"$30,000 - $39,999",178,26878,14808,40789
1,45-49,Full-time Nonseasonal,"$130,000 - $139,999",177,21059,200793,5096
5,20-24,Intermittent Nonseasonal,"$30,000 - $39,999",177,15279,14808,40789
6,45-49,Full-time Nonseasonal,"$20,000 - $29,999",176,21059,200793,26970
1,45-49,Full-time Nonseasonal,"$180,000 or more",176,21059,200793,3065
