PATCO,AGELVLT,WORKSCHT,SALLVLT,CNT,AGELVLTMagnitude,WORKSCHTMagnitude,SALLVLTMagnitude
2,60-64,F-Full-time Nonseasonal,"$60,000 - $69,999",664,28247,154131,19480
2,30-34,F-Full-time Nonseasonal,"$50,000 - $59,999",648,26878,154131,25502
5,20-24,P-Part-time Nonseasonal,"$20,000 - $29,999",642,15279,10928,26970
5,25-29,F-Full-time Nonseasonal,"$30,000 - $39,999",631,24507,154131,40789
1,30-34,F-Full-time Nonseasonal,"$70,000 - $79,999",616,26878,154131,19003
6,30-34,F-Full-time Nonseasonal,"$40,000 - $49,999",614,26878,154131,29706
3,Less than 20,F-Full-time Nonseasonal,"$20,000 - $29,999",610,2541,154131,26970
1,55-59,F-Full-time Nonseasonal,"$90,000 - $99,999",605,30359,154131,14905
2,50-54,F-Full-time Nonseasonal,"$60,000 - $69,999",602,24493,154131,19480
2,65 or more,F-Full-time Nonseasonal,"$80,000 - $89,999",599,21557,154131,14182
4,35-39,F-Full-time Nonseasonal,"$30,000 - $39,999",598,21648,154131,40789
6,55-59,F-Full-time Nonseasonal,"$50,000 - $59,999",591,30359,154131,25502
6,25-29,F-Full-time Nonseasonal,"$30,000 - $39,999",588,24507,154131,40789
2,65 or more,F-Full-time Nonseasonal,"$70,000 - $79,999",586,21557,154131,19003
2,45-49,F-Full-time Nonseasonal,"$70,000 - $79,999",585,21059,154131,19003
1,60-64,F-Full-time Nonseasonal,"$80,000 - $89,999",582,28247,154131,14182
2,35-39,F-Full-time Nonseasonal,"$60,000 - $69,999",581,21648,154131,19480
2,50-54,F-Full-time Nonseasonal,"$90,000 - $99,999",576,24493,154131,14905
1,30-34,F-Full-time Nonseasonal,"$60,000 - $69,999",571,26878,154131,19480
1,60-64,F-Full-time Nonseasonal,"$100,000 - $109,999",570,28247,154131,10369
3,60-64,F-Full-time Nonseasonal,"$30,000 - $39,999",569,28247,154131,40789
2,45-49,F-Full-time Nonseasonal,"$60,000 - $69,999",568,21059,154131,19480
4,40-44,F-Full-time Nonseasonal,"$30,000 - $39,999",555,19462,154131,40789
5,Less than 20,F-Full-time Nonseasonal,"$20,000 - $29,999",555,2541,154131,26970
2,55-59,F-Full-time Nonseasonal,"$120,000 - $129,999",553,30359,154131,5366
2,65 or more,F-Full-time Nonseasonal,"$100,000 - $109,999",550,21557,154131,10369
2,25-29,F-Full-time Nonseasonal,"$50,000 - $59,999",550,24507,154131,25502
2,35-39,F-Full-time Nonseasonal,"$70,000 - $79,999",548,21648,154131,19003
2,30-34,F-Full-time Nonseasonal,"$90,000 - $99,999",541,26878,154131,14905
3,50-54,F-Full-time Nonseasonal,"$50,000 - $59,999",539,24493,154131,25502
1,60-64,F-Full-time Nonseasonal,"$70,000 - $79,999",537,28247,154131,19003
2,50-54,F-Full-time Nonseasonal,"$80,000 - $89,999",531,24493,154131,14182
6,30-34,F-Full-time Nonseasonal,"$50,000 - $59,999",530,26878,154131,25502
2,50-54,F - Full-time Nonseasonal,"$70,000 - $79,999",520,24493,46662,19003
1,55-59,F-Full-time Nonseasonal,"$100,000 - $109,999",519,30359,154131,10369
2,65 or more,F-Full-time Nonseasonal,"$110,000 - $119,999",512,21557,154131,8683
2,35-39,F-Full-time Nonseasonal,"$50,000 - $59,999",510,21648,154131,25502
1,35-39,F-Full-time Nonseasonal,"$70,000 - $79,999",507,21648,154131,19003
2,55-59,F-Full-time Nonseasonal,"$130,000 - $139,999",504,30359,154131,5096
2,50-54,F-Full-time Nonseasonal,"$100,000 - $109,999",497,24493,154131,10369
2,50-54,F - Full-time Nonseasonal,"$90,000 - $99,999",497,24493,46662,14905
3,50-54,F - Full-time Nonseasonal,"$40,000 - $49,999",496,24493,46662,29706
2,50-54,F - Full-time Nonseasonal,"$80,000 - $89,999",495,24493,46662,14182
6,20-24,F-Full-time Nonseasonal,"$40,000 - $49,999",494,15279,154131,29706
1,25-29,F-Full-time Nonseasonal,"$70,000 - $79,999",492,24507,154131,19003
2,40-44,F-Full-time Nonseasonal,"$70,000 - $79,999",488,19462,154131,19003
6,20-24,F-Full-time Nonseasonal,"$30,000 - $39,999",483,15279,154131,40789
2,60-64,F-Full-time Nonseasonal,"$130,000 - $139,999",482,28247,154131,5096
1,65 or more,F-Full-time Nonseasonal,"$90,000 - $99,999",481,21557,154131,14905
2,35-39,F-Full-time Nonseasonal,"$90,000 - $99,999",480,21648,154131,14905
1,35-39,F-Full-time Nonseasonal,"$60,000 - $69,999",477,21648,154131,19480
2,40-44,F-Full-time Nonseasonal,"$60,000 - $69,999",476,19462,154131,19480
2,45-49,F - Full-time Nonseasonal,"$70,000 - $79,999",473,21059,46662,19003
2,65 or more,F-Full-time Nonseasonal,"$60,000 - $69,999",472,21557,154131,19480
2,45-49,F-Full-time Nonseasonal,"$90,000 - $99,999",471,21059,154131,14905
6,60-64,F-Full-time Nonseasonal,"$40,000 - $49,999",468,28247,154131,29706
2,40-44,F-Full-time Nonseasonal,"$50,000 - $59,999",468,19462,154131,25502
4,45-49,F-Full-time Nonseasonal,"$30,000 - $39,999",466,21059,154131,40789
2,25-29,F-Full-time Nonseasonal,"$60,000 - $69,999",465,24507,154131,19480
2,25-29,F-Full-time Nonseasonal,"$40,000 - $49,999",464,24507,154131,29706
6,65 or more,F-Full-time Nonseasonal,"$50,000 - $59,999",463,21557,154131,25502
3,60-64,F-Full-time Nonseasonal,"$60,000 - $69,999",463,28247,154131,19480
2,55-59,F-Full-time Nonseasonal,"$150,000 - $159,999",462,30359,154131,4567
1,65 or more,F-Full-time Nonseasonal,"$100,000 - $109,999",461,21557,154131,10369
1,55-59,F-Full-time Nonseasonal,"$70,000 - $79,999",459,30359,154131,19003
6,25-29,F-Full-time Nonseasonal,"$50,000 - $59,999",458,24507,154131,25502
4,50-54,F-Full-time Nonseasonal,"$30,000 - $39,999",457,24493,154131,40789
4,60-64,F-Full-time Nonseasonal,"$40,000 - $49,999",454,28247,154131,29706
1,30-34,F-Full-time Nonseasonal,"$80,000 - $89,999",451,26878,154131,14182
1,55-59,F-Full-time Nonseasonal,"$80,000 - $89,999",448,30359,154131,14182
6,35-39,F-Full-time Nonseasonal,"$40,000 - $49,999",446,21648,154131,29706
2,25-29,F-Full-time Nonseasonal,"$30,000 - $39,999",442,24507,154131,40789
2,45-49,F-Full-time Nonseasonal,"$50,000 - $59,999",441,21059,154131,25502
1,30-34,F-Full-time Nonseasonal,"$90,000 - $99,999",440,26878,154131,14905
1,65 or more,F-Full-time Nonseasonal,"$110,000 - $119,999",439,21557,154131,8683
1,60-64,F-Full-time Nonseasonal,"$110,000 - $119,999",437,28247,154131,8683
2,60-64,F-Full-time Nonseasonal,"$120,000 - $129,999",437,28247,154131,5366
6,30-34,F-Full-time Nonseasonal,"$30,000 - $39,999",436,26878,154131,40789
5,25-29,F-Full-time Nonseasonal,"$40,000 - $49,999",433,24507,154131,29706
1,55-59,F-Full-time Nonseasonal,"$110,000 - $119,999",433,30359,154131,8683
2,30-34,F-Full-time Nonseasonal,"$80,000 - $89,999",433,26878,154131,14182
3,45-49,F - Full-time Nonseasonal,"$40,000 - $49,999",432,21059,46662,29706
6,55-59,F-Full-time Nonseasonal,"$60,000 - $69,999",431,30359,154131,19480
1,65 or more,F-Full-time Nonseasonal,"$150,000 - $159,999",431,21557,154131,4567
6,50-54,F-Full-time Nonseasonal,"$50,000 - $59,999",429,24493,154131,25502
6,55-59,F-Full-time Nonseasonal,"$40,000 - $49,999",427,30359,154131,29706
2,50-54,F-Full-time Nonseasonal,"$110,000 - $119,999",426,24493,154131,8683
2,45-49,F-Full-time Nonseasonal,"$80,000 - $89,999",424,21059,154131,14182
3,45-49,F-Full-time Nonseasonal,"$50,000 - $59,999",420,21059,154131,25502
1,30-34,F-Full-time Nonseasonal,"$50,000 - $59,999",420,26878,154131,25502
4,60-64,F-Full-time Nonseasonal,"$30,000 - $39,999",419,28247,154131,40789
3,55-59,F - Full-time Nonseasonal,"$40,000 - $49,999",416,30359,46662,29706
2,25-29,F-Full-time Nonseasonal,"$70,000 - $79,999",415,24507,154131,19003
1,40-44,F-Full-time Nonseasonal,"$70,000 - $79,999",410,19462,154131,19003
5,30-34,F-Full-time Nonseasonal,"$30,000 - $39,999",408,26878,154131,40789
1,25-29,F-Full-time Nonseasonal,"$60,000 - $69,999",408,24507,154131,19480
2,55-59,F - Full-time Nonseasonal,"$70,000 - $79,999",407,30359,46662,19003
2,35-39,F-Full-time Nonseasonal,"$80,000 - $89,999",406,21648,154131,14182
3,65 or more,F-Full-time Nonseasonal,"$30,000 - $39,999",404,21557,154131,40789
2,45-49,F - Full-time Nonseasonal,"$80,000 - $89,999",403,21059,46662,14182
6,55-59,F-Full-time Nonseasonal,"$30,000 - $39,999",402,30359,154131,40789
6,60-64,F-Full-time Nonseasonal,"$60,000 - $69,999",397,28247,154131,19480
2,55-59,F - Full-time Nonseasonal,"$90,000 - $99,999",395,30359,46662,14905
1,25-29,I-Intermittent Nonseasonal,"$20,000 - $29,999",394,24507,13683,26970
6,60-64,F-Full-time Nonseasonal,"$30,000 - $39,999",393,28247,154131,40789
2,50-54,F - Full-time Nonseasonal,"$100,000 - $109,999",393,24493,46662,10369
1,60-64,F-Full-time Nonseasonal,"$150,000 - $159,999",392,28247,154131,4567
2,60-64,F-Full-time Nonseasonal,"$150,000 - $159,999",392,28247,154131,4567
1,25-29,F-Full-time Nonseasonal,"$40,000 - $49,999",390,24507,154131,29706
3,30-34,F-Full-time Nonseasonal,"$50,000 - $59,999",390,26878,154131,25502
2,50-54,F-Full-time Nonseasonal,"$50,000 - $59,999",389,24493,154131,25502
2,30-34,F-Full-time Nonseasonal,"$40,000 - $49,999",389,26878,154131,29706
3,35-39,F-Full-time Nonseasonal,"$50,000 - $59,999",387,21648,154131,25502
4,55-59,F-Full-time Nonseasonal,"$30,000 - $39,999",385,30359,154131,40789
5,30-34,F-Full-time Nonseasonal,"$40,000 - $49,999",385,26878,154131,29706
1,65 or more,F-Full-time Nonseasonal,"$80,000 - $89,999",385,21557,154131,14182
6,65 or more,F-Full-time Nonseasonal,"$40,000 - $49,999",384,21557,154131,29706
6,50-54,F-Full-time Nonseasonal,"$40,000 - $49,999",384,24493,154131,29706
3,65 or more,F-Full-time Nonseasonal,"$60,000 - $69,999",383,21557,154131,19480
1,65 or more,F-Full-time Nonseasonal,"$70,000 - $79,999",381,21557,154131,19003
2,45-49,F - Full-time Nonseasonal,"$90,000 - $99,999",380,21059,46662,14905
1,50-54,F-Full-time Nonseasonal,"$70,000 - $79,999",378,24493,154131,19003
4,25-29,F-Full-time Nonseasonal,"$20,000 - $29,999",378,24507,154131,26970
4,65 or more,F-Full-time Nonseasonal,"$40,000 - $49,999",378,21557,154131,29706
2,55-59,F-Full-time Nonseasonal,"$50,000 - $59,999",377,30359,154131,25502
6,40-44,F-Full-time Nonseasonal,"$50,000 - $59,999",377,19462,154131,25502
2,40-44,F-Full-time Nonseasonal,"$90,000 - $99,999",376,19462,154131,14905
1,25-29,F-Full-time Nonseasonal,"$50,000 - $59,999",376,24507,154131,25502
3,55-59,F - Full-time Nonseasonal,"$50,000 - $59,999",374,30359,46662,25502
1,40-44,F-Full-time Nonseasonal,"$60,000 - $69,999",368,19462,154131,19480
2,40-44,F-Full-time Nonseasonal,"$80,000 - $89,999",365,19462,154131,14182
6,40-44,F-Full-time Nonseasonal,"$40,000 - $49,999",365,19462,154131,29706
6,45-49,F-Full-time Nonseasonal,"$40,000 - $49,999",364,21059,154131,29706
1,35-39,F-Full-time Nonseasonal,"$80,000 - $89,999",364,21648,154131,14182
2,30-34,F - Full-time Nonseasonal,"$70,000 - $79,999",364,26878,46662,19003
3,55-59,F-Full-time Nonseasonal,"$60,000 - $69,999",362,30359,154131,19480
3,40-44,F - Full-time Nonseasonal,"$40,000 - $49,999",361,19462,46662,29706
4,60-64,I-Intermittent Nonseasonal,"$20,000 - $29,999",358,28247,13683,26970
6,35-39,F-Full-time Nonseasonal,"$50,000 - $59,999",357,21648,154131,25502
1,45-49,F-Full-time Nonseasonal,"$70,000 - $79,999",356,21059,154131,19003
2,60-64,F-Full-time Nonseasonal,"$50,000 - $59,999",356,28247,154131,25502
3,40-44,F-Full-time Nonseasonal,"$50,000 - $59,999",354,19462,154131,25502
1,35-39,F-Full-time Nonseasonal,"$90,000 - $99,999",353,21648,154131,14905
3,35-39,F - Full-time Nonseasonal,"$40,000 - $49,999",352,21648,46662,29706
1,65 or more,F-Full-time Nonseasonal,"$180,000 or more",352,21557,154131,3065
3,30-34,F - Full-time Nonseasonal,"$40,000 - $49,999",352,26878,46662,29706
2,45-49,F - Full-time Nonseasonal,"$100,000 - $109,999",351,21059,46662,10369
2,55-59,F - Full-time Nonseasonal,"$80,000 - $89,999",348,30359,46662,14182
6,45-49,F-Full-time Nonseasonal,"$50,000 - $59,999",346,21059,154131,25502
2,45-49,F - Full-time Nonseasonal,"$60,000 - $69,999",345,21059,46662,19480
2,50-54,F - Full-time Nonseasonal,"$60,000 - $69,999",345,24493,46662,19480
4,65 or more,I-Intermittent Nonseasonal,"$30,000 - $39,999",342,21557,13683,40789
6,50-54,F-Full-time Nonseasonal,"$30,000 - $39,999",341,24493,154131,40789
2,35-39,F - Full-time Nonseasonal,"$70,000 - $79,999",336,21648,46662,19003
2,40-44,F - Full-time Nonseasonal,"$70,000 - $79,999",335,19462,46662,19003
3,50-54,F - Full-time Nonseasonal,"$50,000 - $59,999",334,24493,46662,25502
2,55-59,F - Full-time Nonseasonal,"$100,000 - $109,999",331,30359,46662,10369
1,55-59,F-Full-time Nonseasonal,"$150,000 - $159,999",326,30359,154131,4567
2,50-54,F - Full-time Nonseasonal,"$110,000 - $119,999",325,24493,46662,8683
1,60-64,F-Full-time Nonseasonal,"$130,000 - $139,999",324,28247,154131,5096
2,30-34,F-Full-time Nonseasonal,"$30,000 - $39,999",324,26878,154131,40789
4,55-59,I-Intermittent Nonseasonal,"$20,000 - $29,999",323,30359,13683,26970
2,65 or more,F-Full-time Nonseasonal,"$130,000 - $139,999",323,21557,154131,5096
1,45-49,F-Full-time Nonseasonal,"$60,000 - $69,999",322,21059,154131,19480
4,20-24,F-Full-time Nonseasonal,"$30,000 - $39,999",320,15279,154131,40789
4,20-24,F-Full-time Nonseasonal,"$20,000 - $29,999",318,15279,154131,26970
4,25-29,P-Part-time Nonseasonal,"$30,000 - $39,999",318,24507,10928,40789
2,35-39,F - Full-time Nonseasonal,"$90,000 - $99,999",317,21648,46662,14905
2,50-54,F-Full-time Nonseasonal,"$120,000 - $129,999",316,24493,154131,5366
6,65 or more,F-Full-time Nonseasonal,"$30,000 - $39,999",315,21557,154131,40789
1,55-59,F-Full-time Nonseasonal,"$120,000 - $129,999",314,30359,154131,5366
4,65 or more,F-Full-time Nonseasonal,"$30,000 - $39,999",313,21557,154131,40789
1,60-64,F-Full-time Nonseasonal,"$120,000 - $129,999",312,28247,154131,5366
4,55-59,F-Full-time Nonseasonal,"$40,000 - $49,999",309,30359,154131,29706
1,50-54,F-Full-time Nonseasonal,"$80,000 - $89,999",308,24493,154131,14182
4,30-34,F-Full-time Nonseasonal,"$20,000 - $29,999",308,26878,154131,26970
3,35-39,F-Full-time Nonseasonal,"$20,000 - $29,999",306,21648,154131,26970
1,40-44,F-Full-time Nonseasonal,"$80,000 - $89,999",302,19462,154131,14182
2,40-44,F - Full-time Nonseasonal,"$90,000 - $99,999",299,19462,46662,14905
3,25-29,P-Part-time Nonseasonal,"$30,000 - $39,999",298,24507,10928,40789
6,35-39,F-Full-time Nonseasonal,"$30,000 - $39,999",297,21648,154131,40789
2,45-49,F-Full-time Nonseasonal,"$100,000 - $109,999",296,21059,154131,10369
2,40-44,F - Full-time Nonseasonal,"$80,000 - $89,999",295,19462,46662,14182
6,20-24,F-Full-time Nonseasonal,"$50,000 - $59,999",292,15279,154131,25502
1,35-39,F-Full-time Nonseasonal,"$50,000 - $59,999",291,21648,154131,25502
1,55-59,F-Full-time Nonseasonal,"$60,000 - $69,999",290,30359,154131,19480
1,50-54,F-Full-time Nonseasonal,"$90,000 - $99,999",288,24493,154131,14905
6,45-49,F-Full-time Nonseasonal,"$30,000 - $39,999",287,21059,154131,40789
4,50-54,I-Intermittent Nonseasonal,"$20,000 - $29,999",286,24493,13683,26970
2,65 or more,F-Full-time Nonseasonal,"$120,000 - $129,999",285,21557,154131,5366
2,40-44,F - Full-time Nonseasonal,"$60,000 - $69,999",284,19462,46662,19480
4,20-24,P-Part-time Nonseasonal,"$30,000 - $39,999",280,15279,10928,40789
3,45-49,F - Full-time Nonseasonal,"$50,000 - $59,999",280,21059,46662,25502
1,65 or more,F-Full-time Nonseasonal,"$130,000 - $139,999",278,21557,154131,5096
2,65 or more,F-Full-time Nonseasonal,"$150,000 - $159,999",277,21557,154131,4567
2,35-39,F - Full-time Nonseasonal,"$60,000 - $69,999",276,21648,46662,19480
1,65 or more,F-Full-time Nonseasonal,"$120,000 - $129,999",276,21557,154131,5366
6,20-24,F-Full-time Nonseasonal,"$20,000 - $29,999",274,15279,154131,26970
2,45-49,F - Full-time Nonseasonal,"$110,000 - $119,999",274,21059,46662,8683
2,55-59,F - Full-time Nonseasonal,"$60,000 - $69,999",274,30359,46662,19480
2,30-34,F - Full-time Nonseasonal,"$80,000 - $89,999",273,26878,46662,14182
3,30-34,F - Full-time Nonseasonal,"$30,000 - $39,999",272,26878,46662,40789
2,40-44,F - Full-time Nonseasonal,"$100,000 - $109,999",268,19462,46662,10369
2,35-39,F-Full-time Nonseasonal,"$100,000 - $109,999",268,21648,154131,10369
2,55-59,F-Full-time Nonseasonal,"$140,000 - $149,999",268,30359,154131,2587
1,60-64,F-Full-time Nonseasonal,"$60,000 - $69,999",267,28247,154131,19480
1,25-29,F-Full-time Nonseasonal,"$80,000 - $89,999",265,24507,154131,14182
1,30-34,F-Full-time Nonseasonal,"$40,000 - $49,999",265,26878,154131,29706
2,30-34,F - Full-time Nonseasonal,"$60,000 - $69,999",264,26878,46662,19480
1,50-54,F - Full-time Nonseasonal,"$100,000 - $109,999",264,24493,46662,10369
1,25-29,F-Full-time Nonseasonal,"$30,000 - $39,999",262,24507,154131,40789
6,50-54,F-Full-time Nonseasonal,"$60,000 - $69,999",261,24493,154131,19480
1,30-34,F - Full-time Nonseasonal,"$70,000 - $79,999",261,26878,46662,19003
2,40-44,F-Full-time Nonseasonal,"$100,000 - $109,999",260,19462,154131,10369
1,50-54,F-Full-time Nonseasonal,"$60,000 - $69,999",259,24493,154131,19480
1,40-44,F-Full-time Nonseasonal,"$90,000 - $99,999",258,19462,154131,14905
3,60-64,F - Full-time Nonseasonal,"$40,000 - $49,999",258,28247,46662,29706
3,20-24,F-Full-time Nonseasonal,"$40,000 - $49,999",252,15279,154131,29706
1,45-49,F-Full-time Nonseasonal,"$80,000 - $89,999",252,21059,154131,14182
1,25-29,F-Full-time Nonseasonal,"$20,000 - $29,999",251,24507,154131,26970
2,35-39,F - Full-time Nonseasonal,"$80,000 - $89,999",251,21648,46662,14182
3,25-29,F - Full-time Nonseasonal,"$30,000 - $39,999",251,24507,46662,40789
5,25-29,F-Full-time Nonseasonal,"$20,000 - $29,999",251,24507,154131,26970
1,55-59,F - Full-time Nonseasonal,"$100,000 - $109,999",247,30359,46662,10369
2,50-54,F-Full-time Nonseasonal,"$150,000 - $159,999",246,24493,154131,4567
6,65 or more,F-Full-time Nonseasonal,"$60,000 - $69,999",246,21557,154131,19480
1,55-59,F-Full-time Nonseasonal,"$130,000 - $139,999",246,30359,154131,5096
1,50-54,F - Full-time Nonseasonal,"$110,000 - $119,999",243,24493,46662,8683
2,50-54,F-Full-time Nonseasonal,"$130,000 - $139,999",243,24493,154131,5096
1,60-64,F-Full-time Nonseasonal,"$180,000 or more",241,28247,154131,3065
2,55-59,F - Full-time Nonseasonal,"$110,000 - $119,999",239,30359,46662,8683
3,60-64,F - Full-time Nonseasonal,"$50,000 - $59,999",239,28247,46662,25502
2,30-34,F - Full-time Nonseasonal,"$50,000 - $59,999",237,26878,46662,25502
2,20-24,F-Full-time Nonseasonal,"$30,000 - $39,999",234,15279,154131,40789
6,55-59,F-Full-time Nonseasonal,"$70,000 - $79,999",233,30359,154131,19003
3,30-34,G-Full-time Seasonal,"$30,000 - $39,999",233,26878,4991,40789
2,45-49,F-Full-time Nonseasonal,"$110,000 - $119,999",233,21059,154131,8683
2,50-54,F - Full-time Nonseasonal,"$120,000 - $129,999",230,24493,46662,5366
2,35-39,F-Full-time Nonseasonal,"$40,000 - $49,999",230,21648,154131,29706
6,40-44,F-Full-time Nonseasonal,"$30,000 - $39,999",228,19462,154131,40789
2,20-24,F-Full-time Nonseasonal,"$40,000 - $49,999",226,15279,154131,29706
6,45-49,F-Full-time Nonseasonal,"$60,000 - $69,999",226,21059,154131,19480
4,35-39,F-Full-time Nonseasonal,"$20,000 - $29,999",225,21648,154131,26970
2,60-64,F - Full-time Nonseasonal,"$90,000 - $99,999",224,28247,46662,14905
6,50-54,F - Full-time Nonseasonal,"$50,000 - $59,999",224,24493,46662,25502
2,30-34,F - Full-time Nonseasonal,"$90,000 - $99,999",224,26878,46662,14905
1,45-49,F-Full-time Nonseasonal,"$90,000 - $99,999",222,21059,154131,14905
3,20-24,I-Intermittent Nonseasonal,"$20,000 - $29,999",221,15279,13683,26970
1,50-54,F - Full-time Nonseasonal,"$90,000 - $99,999",218,24493,46662,14905
6,Less than 20,F-Full-time Nonseasonal,"Less than $20,000",218,2541,154131,1961
4,45-49,I-Intermittent Nonseasonal,"$20,000 - $29,999",217,21059,13683,26970
4,40-44,F-Full-time Nonseasonal,"$20,000 - $29,999",216,19462,154131,26970
1,30-34,F - Full-time Nonseasonal,"$80,000 - $89,999",216,26878,46662,14182
1,40-44,F-Full-time Nonseasonal,"$50,000 - $59,999",216,19462,154131,25502
1,45-49,F - Full-time Nonseasonal,"$70,000 - $79,999",215,21059,46662,19003
1,20-24,I-Intermittent Nonseasonal,"$20,000 - $29,999",215,15279,13683,26970
1,30-34,F - Full-time Nonseasonal,"$60,000 - $69,999",214,26878,46662,19480
2,35-39,F-Full-time Nonseasonal,"$110,000 - $119,999",212,21648,154131,8683
3,35-39,F - Full-time Nonseasonal,"$30,000 - $39,999",211,21648,46662,40789
2,35-39,F - Full-time Nonseasonal,"$50,000 - $59,999",210,21648,46662,25502
1,55-59,F - Full-time Nonseasonal,"$90,000 - $99,999",209,30359,46662,14905
2,25-29,F-Full-time Nonseasonal,"$20,000 - $29,999",209,24507,154131,26970
1,50-54,F-Full-time Nonseasonal,"$100,000 - $109,999",208,24493,154131,10369
6,30-34,F-Full-time Nonseasonal,"$60,000 - $69,999",208,26878,154131,19480
6,20-24,F-Full-time Nonseasonal,Unspecified or Zero,207,15279,154131,1350
2,60-64,F - Full-time Nonseasonal,"$70,000 - $79,999",207,28247,46662,19003
3,25-29,G-Full-time Seasonal,"$30,000 - $39,999",207,24507,4991,40789
3,40-44,F - Full-time Nonseasonal,"$30,000 - $39,999",207,19462,46662,40789
4,60-64,I-Intermittent Nonseasonal,"$30,000 - $39,999",206,28247,13683,40789
5,20-24,F-Full-time Nonseasonal,"$40,000 - $49,999",205,15279,154131,29706
1,35-39,F - Full-time Nonseasonal,"$70,000 - $79,999",205,21648,46662,19003
3,40-44,F - Full-time Nonseasonal,"$50,000 - $59,999",205,19462,46662,25502
6,55-59,F - Full-time Nonseasonal,"$50,000 - $59,999",204,30359,46662,25502
5,35-39,F-Full-time Nonseasonal,"$30,000 - $39,999",204,21648,154131,40789
5,20-24,P-Part-time Nonseasonal,"$30,000 - $39,999",204,15279,10928,40789
